Gene,overall_primate,class_primate,subtype_primate,meta-cluster_primate,overall_human_NHP,class_human_NHP,subtype_human_NHP,meta-cluster_human_NHP
A1BG,0.757622081,0.671725053,0.657813163,0.679547063,0.843232484,0.897323956,0.818095364,0.779162243
A1CF,0.596744515,0.549704529,0.599589526,0.474708068,0.673478415,0.554445329,0.754104742,0.514185244
A2ML1,0.835442321,0.873393489,0.898002477,0.717708776,0.876318117,0.805126504,0.847487615,0.725115004
A3GALT2,0.701323425,0.4610138,0.374973461,0.467254069,0.827786624,0.579087049,0.437504423,0.425300778
A4GALT,0.786525124,0.772089526,0.772257608,0.645040694,0.829892074,0.554909766,0.630241507,0.601167728
A4GNT,0.523648266,0.570652866,0.643789809,0.57670913,0.624044586,0.687146143,0.627928167,0.709642604
AAAS,0.852353149,0.838386412,0.816956829,0.708384643,0.919559448,0.936482661,0.946947983,0.888565994
AACS,0.999624912,0.971946214,0.905751946,0.751749823,0.999619604,0.970572364,0.879277247,0.870267162
AADACL2,0.506125265,0.565872258,0.713055556,0.552126681,0.550061925,0.70367569,0.733581033,0.622169144
AADACL3,0.581323425,0.575237084,0.62126327,0.785005308,0.591472045,0.808797771,0.7745046,0.850880219
AADACL4,0.48566879,0.586268577,0.608190021,0.417508846,0.564012739,0.537889243,0.49581564,0.363747346
AADAT,0.982689314,0.999168436,0.959539986,0.963443029,0.99131281,0.99829264,0.964362173,0.922991861
AAGAB,0.96972753,0.968255485,0.951900212,0.925806794,0.975521939,0.988906582,0.957262916,0.950893489
AAK1,0.999819533,0.999561217,0.993006016,0.977981246,0.999911536,0.999778839,0.997133758,0.994019816
AAMDC,0.654111819,0.773869427,0.838987969,0.833658882,0.821726822,0.969311748,0.982607926,0.896293347
AAMP,0.75982661,0.487561925,0.526118188,0.467015216,0.780352088,0.411557856,0.446390658,0.303503185
AANAT,0.857374381,0.820125619,0.910040694,0.733333333,0.917604388,0.898447452,0.933213907,0.777291224
AAR2,0.940672328,0.979915074,0.938124558,0.767100142,0.976468507,0.999336518,0.997531847,0.919276362
AARD,0.779709837,0.74138535,0.809447983,0.944794763,0.851070418,0.800915605,0.890728946,0.971717976
AARS2,0.92928167,0.720640481,0.795111465,0.891693206,0.950858103,0.861615357,0.977207183,0.97633581
AASDH,0.990736023,0.978251946,0.981178344,0.777176221,0.992055909,0.948549186,0.957139066,0.634341826
AASDHPPT,0.62569356,0.703851734,0.684345364,0.717613234,0.69178167,0.808939314,0.741750708,0.848628804
AASS,0.999317056,0.996840057,0.939867304,0.745559094,0.998938429,0.995205237,0.912199222,0.830458245
AATF,0.847975938,0.772937013,0.855058386,0.940463553,0.970550248,0.996266808,0.999141897,0.997120488
AATK,0.976903751,0.995633404,0.832381458,0.93683121,0.992312456,0.999513447,0.894148089,0.970156582
ABCA1,0.992512385,0.996726822,0.993577495,0.954223284,0.99646143,0.997381458,0.999964614,0.932837933
ABCA10,0.929228592,0.946548125,0.941970984,0.887162067,0.982404459,0.991525124,0.981537509,0.960067233
ABCA12,0.898124558,0.976105803,0.969400212,0.908147558,0.934872611,0.995943914,0.995169851,0.984624912
ABCA13,0.619076433,0.615129158,0.585612173,0.580583864,0.701096957,0.63886235,0.618586341,0.51532201
