gene_set_source,gene_set_label,gene_set_type,gene_set_size,within_species_meanAUROC,cross_species_meanAUROC
SynGO,GO:0001504,Signaling,6,0.610470175,0.60132807
SynGO,GO:0007416,Signaling,7,0.869845614,0.858594737
SynGO,GO:0008021,Signaling,17,0.776210526,0.757684211
SynGO,GO:0014069,Signaling,103,0.922140351,0.909924561
SynGO,GO:0016079,Signaling,9,0.773284211,0.751550877
SynGO,GO:0016081,Signaling,5,0.632487719,0.614224561
SynGO,GO:0016082,Signaling,11,0.853431579,0.836561404
SynGO,GO:0030285,Signaling,46,0.913750877,0.899878947
SynGO,GO:0030672,Signaling,8,0.767375439,0.757178947
SynGO,GO:0031630,Signaling,5,0.634108772,0.625247368
SynGO,GO:0042734,Signaling,7,0.702252632,0.691498246
SynGO,GO:0043083,Signaling,13,0.785315789,0.773594737
SynGO,GO:0045202,Signaling,208,0.958978947,0.949292982
SynGO,GO:0045211,Signaling,7,0.783378947,0.770342105
SynGO,GO:0048488,Signaling,26,0.834157895,0.816612281
SynGO,GO:0048786,Signaling,13,0.688992982,0.67517193
SynGO,GO:0050804,Signaling,85,0.972459649,0.964454386
SynGO,GO:0050807,Signaling,23,0.876817544,0.852924561
SynGO,GO:0050808,Signaling,7,0.759568421,0.738640351
SynGO,GO:0051963,Signaling,12,0.806235088,0.790121053
SynGO,GO:0060078,Signaling,7,0.773673684,0.762117544
SynGO,GO:0090128,Signaling,11,0.695926316,0.680431579
SynGO,GO:0097091,Signaling,7,0.772375439,0.758245614
SynGO,GO:0097107,Signaling,5,0.678091228,0.673840351
SynGO,GO:0097401,Signaling,15,0.62277193,0.606308772
SynGO,GO:0097444,Signaling,5,0.685463158,0.680349123
SynGO,GO:0098693,Signaling,19,0.776996491,0.755654386
SynGO,GO:0098696,Signaling,17,0.864873684,0.847492982
SynGO,GO:0098698,Signaling,7,0.649754386,0.644778947
SynGO,GO:0098700,Signaling,5,0.749498246,0.744294737
SynGO,GO:0098793,Signaling,93,0.957368421,0.943321053
SynGO,GO:0098794,Signaling,124,0.957077193,0.946496491
SynGO,GO:0098831,Signaling,16,0.889252632,0.877519298
SynGO,GO:0098835,Signaling,6,0.594480702,0.586552632
SynGO,GO:0098839,Signaling,5,0.639961404,0.626807018
SynGO,GO:0098843,Signaling,6,0.6182,0.612750877
SynGO,GO:0098850,Signaling,22,0.782512281,0.759710526
SynGO,GO:0098871,Signaling,16,0.806719298,0.792912281
SynGO,GO:0098880,Signaling,6,0.680838596,0.661480702
SynGO,GO:0098882,Signaling,8,0.815319298,0.799524561
SynGO,GO:0098884,Signaling,8,0.651508772,0.6441
SynGO,GO:0098885,Signaling,10,0.757021053,0.746092982
SynGO,GO:0098888,Signaling,5,0.698470175,0.688596491
SynGO,GO:0098890,Signaling,7,0.82534386,0.810175439
SynGO,GO:0098894,Signaling,9,0.643912281,0.631080702
SynGO,GO:0098919,Signaling,11,0.824091228,0.805389474
SynGO,GO:0098962,Signaling,16,0.866978947,0.853989474
SynGO,GO:0098966,Signaling,5,0.610361404,0.600517544
SynGO,GO:0098974,Signaling,21,0.85517193,0.842675439
SynGO,GO:0098992,Signaling,25,0.846761404,0.837898246
SynGO,GO:0098993,Signaling,15,0.763540351,0.753645614
SynGO,GO:0099010,Signaling,6,0.61702807,0.600080702
SynGO,GO:0099026,Signaling,8,0.786835088,0.764777193
SynGO,GO:0099029,Signaling,5,0.726480702,0.718135088
SynGO,GO:0099031,Signaling,7,0.644694737,0.630184211
SynGO,GO:0099054,Signaling,11,0.833814035,0.817835088
SynGO,GO:0099055,Signaling,93,0.977301754,0.970636842
SynGO,GO:0099056,Signaling,110,0.974480702,0.967938596
SynGO,GO:0099059,Signaling,39,0.96465614,0.954350877
SynGO,GO:0099060,Signaling,38,0.895933333,0.878796491
SynGO,GO:0099061,Signaling,75,0.980649123,0.974419298
SynGO,GO:0099072,Signaling,32,0.823775439,0.809568421
SynGO,GO:0099091,Signaling,9,0.662459649,0.657482456
SynGO,GO:0099092,Signaling,42,0.928985965,0.919078947
SynGO,GO:0099147,Signaling,6,0.812645614,0.798591228
SynGO,GO:0099149,Signaling,25,0.822403509,0.789626316
SynGO,GO:0099150,Signaling,7,0.723940351,0.716963158
SynGO,GO:0099151,Signaling,12,0.864691228,0.853521053
SynGO,GO:0099159,Signaling,9,0.653035088,0.646578947
SynGO,GO:0099161,Signaling,7,0.730873684,0.711796491
SynGO,GO:0099170,Signaling,26,0.915291228,0.900703509
SynGO,GO:0099171,Signaling,44,0.943231579,0.92852807
SynGO,GO:0099173,Signaling,17,0.767445614,0.750045614
SynGO,GO:0099175,Signaling,49,0.917501754,0.902040351
SynGO,GO:0099179,Signaling,6,0.704480702,0.697461404
SynGO,GO:0099504,Signaling,5,0.736603509,0.723385965
SynGO,GO:0099507,Signaling,23,0.942059649,0.931159649
SynGO,GO:0099508,Signaling,14,0.860333333,0.843405263
SynGO,GO:0099509,Signaling,15,0.862010526,0.856712281
SynGO,GO:0099523,Signaling,33,0.901087719,0.888417544
SynGO,GO:0099524,Signaling,26,0.822407018,0.811547368
SynGO,GO:0099525,Signaling,7,0.734638596,0.722445614
SynGO,GO:0099527,Signaling,13,0.800887719,0.786492982
SynGO,GO:0099537,Signaling,5,0.773621053,0.762984211
SynGO,GO:0099538,Signaling,8,0.726407018,0.712315789
SynGO,GO:0099558,Signaling,5,0.688621053,0.667952632
SynGO,GO:0099560,Signaling,31,0.955115789,0.940198246
SynGO,GO:0099566,Signaling,5,0.616147368,0.615685965
SynGO,GO:0099572,Signaling,9,0.71134386,0.692170175
SynGO,GO:0099626,Signaling,8,0.845785965,0.823991228
SynGO,GO:0099645,Signaling,21,0.887421053,0.876985965
SynGO,GO:0099699,Signaling,7,0.709410526,0.693924561
SynGO,GO:0140236,Signaling,45,0.595168421,0.57507193
SynGO,GO:0140242,Signaling,46,0.596880702,0.576852632
SynGO,GO:0140252,Signaling,7,0.592985965,0.583129825
SynGO,GO:0150037,Signaling,6,0.793508772,0.778184211
SynGO,GO:0150052,Signaling,5,0.632066667,0.619949123
SynGO,GO:1900242,Signaling,14,0.752789474,0.7396
SynGO,GO:1904315,Signaling,41,0.938663158,0.926777193
SynGO,GO:1905274,Signaling,10,0.809687719,0.801075439
SynGO,GO:1905606,Signaling,28,0.925926316,0.908287719
SynGO,GO:1905806,Signaling,8,0.766940351,0.751854386
SynGO,GO:2000300,Signaling,33,0.906807018,0.896729825
SynGO,SYNGO:metabolism,Signaling,5,0.655382456,0.647601754
SynGO,SYNGO:postsyn_ribosome,Signaling,62,0.609996491,0.587477193
SynGO,SYNGO:presyn_ribosome,Signaling,46,0.598873684,0.576759649
