gene,expressed_in_human_nhp,No_variability_within_classes,Div_in_ExN,Div_in_InN,Div_in_NonN,Div_in_atleast1class,human_mammal_adj_pval,human_vert_adj_pval,Div_in_bulk,Divergence_category
A1BG,0,FALSE,0,0,1,1,0.005523688,0.783776345,0,NA
A1CF,0,FALSE,0,0,1,1,0.001180312,0.178497239,0,NA
A2ML1,1,FALSE,0,0,0,0,1,1,0,NA
A3GALT2,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
A4GALT,1,TRUE,1,0,0,1,1,1,0,NA
A4GNT,0,FALSE,1,0,1,1,0.049003618,1,0,NA
AAAS,1,FALSE,1,0,0,1,0.334190074,1,0,Diverged_in_single-cell
AACS,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
AADACL2,0,FALSE,1,0,0,1,0.806368642,1,0,NA
AADACL3,0,TRUE,0,0,0,0,1,1,0,NA
AADACL4,0,FALSE,1,1,0,1,1,1,0,NA
AADAT,1,FALSE,0,0,0,0,0.42992921,1,0,NA
AAGAB,1,FALSE,0,0,0,0,1,1,0,NA
AAK1,1,FALSE,0,0,0,0,1,1,0,NA
AAMDC,1,FALSE,0,0,0,0,4.53E-05,1,0,NA
AAMP,1,FALSE,1,0,1,1,0.927821766,1,0,Diverged_in_single-cell
AANAT,0,FALSE,0,0,0,0,1,1,0,NA
AAR2,1,FALSE,0,0,0,0,1,1,0,NA
AARD,0,FALSE,0,0,0,0,0.20411887,1,0,NA
AARS2,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
AASDH,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
AASDHPPT,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
AASS,1,FALSE,0,0,0,0,0.228393506,1,0,NA
AATF,1,FALSE,0,0,0,0,7.97E-05,0.000439149,1,Diverged_in_bulk
AATK,1,FALSE,0,0,0,0,1,1,0,NA
ABCA1,1,FALSE,0,0,0,0,1,1,0,NA
ABCA10,1,FALSE,0,0,0,0,0.016924066,1,0,NA
ABCA12,1,FALSE,0,0,0,0,0.922019848,1,0,NA
ABCA13,1,FALSE,0,0,0,0,1,1,0,NA
ABCA2,1,FALSE,0,0,0,0,1,1,0,NA
ABCA4,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
ABCA5,1,FALSE,0,0,0,0,1,1,0,NA
ABCA6,1,FALSE,0,0,0,0,1,1,0,NA
ABCA7,1,FALSE,0,0,0,0,1,1,0,NA
ABCA8,1,FALSE,0,1,0,1,1,1,0,Diverged_in_single-cell
ABCB1,1,FALSE,0,0,0,0,1,1,0,NA
ABCB10,1,FALSE,0,0,0,0,0.609691044,1,0,NA
ABCB11,0,FALSE,0,0,0,0,0.002181811,0.004662867,1,NA
ABCB4,1,FALSE,0,0,0,0,0.026492932,1,0,NA
ABCB5,1,FALSE,1,0,0,1,0.000856265,0.23332607,0,Diverged_in_single-cell
ABCB6,1,FALSE,0,1,0,1,5.44E-06,1,0,Diverged_in_single-cell
ABCB7,1,FALSE,0,0,0,0,0.703391263,1,0,NA
ABCB8,1,FALSE,0,0,0,0,0.50921314,1,0,NA
ABCB9,1,FALSE,0,0,0,0,1,1,0,NA
ABCC10,1,FALSE,1,0,1,1,0.3702006,1,0,Diverged_in_single-cell
ABCC2,1,FALSE,0,0,1,1,0.85164609,1,0,Diverged_in_single-cell
ABCC3,1,FALSE,0,0,0,0,1,1,0,NA
ABCC4,1,FALSE,0,0,0,0,1,1,0,NA
ABCC5,1,FALSE,0,0,0,0,1,1,0,NA
ABCC8,1,FALSE,0,0,0,0,1,1,0,NA
ABCD1,1,FALSE,1,0,0,1,1,1,0,Diverged_in_single-cell
ABCD2,1,FALSE,0,0,0,0,1,1,0,NA
ABCD3,1,FALSE,0,0,0,0,1,1,0,NA
ABCD4,1,FALSE,0,0,0,0,1,1,0,NA
ABCE1,1,FALSE,0,0,0,0,1,1,0,NA
ABCF1,1,FALSE,1,0,0,1,1.79E-05,0.000131949,1,Diverged_in_both
ABCF2,1,FALSE,0,0,0,0,0.006627974,1,0,NA
ABCF3,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ABCG1,1,FALSE,0,0,0,0,1,1,0,NA
ABCG2,1,FALSE,0,0,0,0,1,1,0,NA
ABCG4,1,FALSE,0,0,0,0,1,1,0,NA
ABCG5,1,FALSE,0,0,0,0,0.046356051,1,0,NA
ABCG8,1,FALSE,0,0,1,1,0.000789569,0.000122904,1,Diverged_in_both
ABHD1,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ABHD10,1,FALSE,0,0,0,0,1,1,0,NA
ABHD11,1,FALSE,0,0,0,0,1,1,0,NA
ABHD12,1,FALSE,0,0,0,0,0.242940337,1,0,NA
ABHD12B,1,FALSE,0,0,0,0,1,1,0,NA
ABHD13,1,FALSE,0,0,0,0,1,1,0,NA
ABHD14B,1,FALSE,0,0,0,0,0.052092396,1,0,NA
ABHD15,1,FALSE,0,0,0,0,0.714660781,1,0,NA
ABHD16A,1,FALSE,0,1,0,1,8.26E-06,0.000815561,1,Diverged_in_both
ABHD17A,1,FALSE,0,0,0,0,0.61592404,1,0,NA
ABHD17B,1,FALSE,0,0,0,0,1,1,0,NA
ABHD17C,1,FALSE,0,0,0,0,1,1,0,NA
ABHD2,1,FALSE,0,0,0,0,1,1,0,NA
ABHD3,1,FALSE,0,0,0,0,0.832166613,1,0,NA
ABHD4,1,FALSE,0,0,0,0,1,1,0,NA
ABHD5,1,FALSE,0,0,1,1,1,1,0,Diverged_in_single-cell
ABHD6,1,FALSE,0,0,0,0,1,1,0,NA
ABHD8,1,FALSE,0,0,0,0,0.989498431,1,0,NA
ABI1,1,FALSE,0,0,0,0,1,1,0,NA
ABI2,1,FALSE,0,0,0,0,0.23774664,1,0,NA
ABI3,1,FALSE,0,0,0,0,0.496539244,1,0,NA
ABI3BP,1,FALSE,0,0,0,0,9.73E-05,0.019338693,1,Diverged_in_bulk
