File_name	Sample_ID	Program	Sub-program	Lab	Species	Modality	Technique	Subspecimen_type	Data_type	File_type	Access	Checksum	Anatomical_site	Counts_pipeline	Read_aligner	Genome_build	Gene_set_release	BCDC_Project	BCDC_collection	CA_usage	CA_IC_id	CA_donor	CA_tissue_provider	Contact_email	Aspera_user	Aspera_dir	Validated_nemo_dir	component_identifier	Nemo_checksum	Nemo_file_name	Released_URL	Identifier
NW_TX0027-9_S01_L003_I1_001.fastq.gz	M1TX_191202_103_D01	biccn	U01_lein	lein	chimpanzee	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	e0b8d709f9b1341e6734db6fe09b7f16	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_chimpanzee					timd@alleninstitute.org	timdol.aibs	NLdDVtA	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw	nemo:sqc-ft8qja3	e0b8d709f9b1341e6734db6fe09b7f16	NW_TX0027-9_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw/NW_TX0027-9_S01_L003-001.fastq.tar	nemo:seq-pxiov1k
NW_TX0028-1_S01_L003_I1_001.fastq.gz	M1TX_191202_103_E01	biccn	U01_lein	lein	chimpanzee	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	734c58e408a05a240eae93c3f32a7864	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_chimpanzee					timd@alleninstitute.org	timdol.aibs	NLdDVtA	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw	nemo:sqc-afoomcg	734c58e408a05a240eae93c3f32a7864	NW_TX0028-1_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw/NW_TX0028-1_S01_L003-001.fastq.tar	nemo:seq-ys33fnq
NW_TX0020-6_S01_L003_I1_001.fastq.gz	M2TX_190708_201_A01	biccn	U01_lein	lein	chimpanzee	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	af3573585ba81db4f554ad17eb064c85	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_chimpanzee					timd@alleninstitute.org	timdol.aibs	NLdDVtA	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw	nemo:sqc-24ixa6h	af3573585ba81db4f554ad17eb064c85	NW_TX0020-6_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw/NW_TX0020-6_S01_L003-001.fastq.tar	nemo:seq-t8ebi1g
NW_TX0025-12_S01_L003_I1_001.fastq.gz	M2TX_190708_202_G01	biccn	U01_lein	lein	chimpanzee	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	73692b6943b1a54518cb84cb6e9c2fc9	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_chimpanzee					timd@alleninstitute.org	timdol.aibs	NLdDVtA	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw	nemo:sqc-qxo1dhe	73692b6943b1a54518cb84cb6e9c2fc9	NW_TX0025-12_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw/NW_TX0025-12_S01_L003-001.fastq.tar	nemo:seq-fbh0j5h
NW_TX0020-10_S01_L003_I1_001.fastq.gz	M2TX_190709_203_E01	biccn	U01_lein	lein	chimpanzee	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	0d925488168e1e147feea36b336d58d4	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_chimpanzee					timd@alleninstitute.org	timdol.aibs	NLdDVtA	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw	nemo:sqc-twef36i	0d925488168e1e147feea36b336d58d4	NW_TX0020-10_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw/NW_TX0020-10_S01_L003-001.fastq.tar	nemo:seq-edpxvjc
NW_TX0017-12_S01_L003_I1_001.fastq.gz	M2TX_190710_201_G01	biccn	U01_lein	lein	chimpanzee	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	92bb371da85b7230f100d90ceabb9a08	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_chimpanzee					timd@alleninstitute.org	timdol.aibs	NLdDVtA	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw	nemo:sqc-8y0iszp	92bb371da85b7230f100d90ceabb9a08	NW_TX0017-12_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw/NW_TX0017-12_S01_L003-001.fastq.tar	nemo:seq-sc016um
NW_TX0025-10_S01_L003_I1_001.fastq.gz	M2TX_190710_202_C01	biccn	U01_lein	lein	chimpanzee	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	461cd70a6409dba191d4fba1816f7679	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_chimpanzee					timd@alleninstitute.org	timdol.aibs	NLdDVtA	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw	nemo:sqc-m6ch64w	461cd70a6409dba191d4fba1816f7679	NW_TX0025-10_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw/NW_TX0025-10_S01_L003-001.fastq.tar	nemo:seq-p65rxqo
NW_TX0025-11_S01_L003_I1_001.fastq.gz	M2TX_190716_201_D01	biccn	U01_lein	lein	chimpanzee	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	e8f97885417d28bfdf1af605208671e7	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_chimpanzee					timd@alleninstitute.org	timdol.aibs	NLdDVtA	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw	nemo:sqc-qjzfp56	e8f97885417d28bfdf1af605208671e7	NW_TX0025-11_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw/NW_TX0025-11_S01_L003-001.fastq.tar	nemo:seq-y2soeuc
NW_TX0017-13_S01_L003_I1_001.fastq.gz	M2TX_190716_202_H01	biccn	U01_lein	lein	chimpanzee	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	5f1027c2bf4962b047d7f9fb5f6da1a9	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_chimpanzee					timd@alleninstitute.org	timdol.aibs	NLdDVtA	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw	nemo:sqc-p1pzt6p	5f1027c2bf4962b047d7f9fb5f6da1a9	NW_TX0017-13_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw/NW_TX0017-13_S01_L003-001.fastq.tar	nemo:seq-h797znw
NW_TX0020-7_S01_L003_I1_001.fastq.gz	M2TX_190717_203_B01	biccn	U01_lein	lein	chimpanzee	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	d7d96ad83add7e67aaf15588e87d02f0	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_chimpanzee					timd@alleninstitute.org	timdol.aibs	NLdDVtA	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw	nemo:sqc-f2f45sm	d7d96ad83add7e67aaf15588e87d02f0	NW_TX0020-7_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/chimpanzee/raw/NW_TX0020-7_S01_L003-001.fastq.tar	nemo:seq-zd2hqaf
