File_name	Sample_ID	Program	Sub-program	Lab	Species	Modality	Technique	Subspecimen_type	Data_type	File_type	Access	Checksum	Anatomical_site	Counts_pipeline	Read_aligner	Genome_build	Gene_set_release	BCDC_Project	BCDC_collection	CA_usage	CA_IC_id	CA_donor	CA_tissue_provider	Contact_email	Aspera_user	Aspera_dir	Validated_nemo_dir	component_identifier	Nemo_checksum
NW_TX0017-10_S01_L003_I1_001.fastq.gz	M2TX_190611_201_E01	biccn	U01_lein	lein	western_gorilla	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	bd416422c6c86d0df03075d5d1883f8f	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_gorilla					timd@alleninstitute.org	timdol.aibs	SM5zKIZ	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/western_gorilla/raw	nemo:sqc-xz8mm68	bd416422c6c86d0df03075d5d1883f8f
NW_TX0020-8_S01_L003_I1_001.fastq.gz	M2TX_190611_202_C01	biccn	U01_lein	lein	western_gorilla	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	e9c92b2daf56df609a31d1f2befcb01d	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_gorilla					timd@alleninstitute.org	timdol.aibs	SM5zKIZ	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/western_gorilla/raw	nemo:sqc-2bbom61	e9c92b2daf56df609a31d1f2befcb01d
NW_TX0020-9_S01_L003_I1_001.fastq.gz	M2TX_190611_202_D01	biccn	U01_lein	lein	western_gorilla	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	8bfaede3b8f58487403120ff6625bd69	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_gorilla					timd@alleninstitute.org	timdol.aibs	SM5zKIZ	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/western_gorilla/raw	nemo:sqc-0enn38z	8bfaede3b8f58487403120ff6625bd69
NW_TX0017-11_S01_L003_I1_001.fastq.gz	M2TX_190613_201_F01	biccn	U01_lein	lein	western_gorilla	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	da3ed71303d75846dbec835257358da3	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_gorilla					timd@alleninstitute.org	timdol.aibs	SM5zKIZ	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/western_gorilla/raw	nemo:sqc-c0eezah	da3ed71303d75846dbec835257358da3
NW_TX0020-11_S01_L003_I1_001.fastq.gz	M2TX_190613_202_F01	biccn	U01_lein	lein	western_gorilla	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	29fb3cafab335d2cb21e1246f984d1c7	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_gorilla					timd@alleninstitute.org	timdol.aibs	SM5zKIZ	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/western_gorilla/raw	nemo:sqc-a2cpojd	29fb3cafab335d2cb21e1246f984d1c7
NW_TX0020-12_S01_L003_I1_001.fastq.gz	M2TX_190613_202_G01	biccn	U01_lein	lein	western_gorilla	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	0cc314d126f7b42347520f8c5d2325ac	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_gorilla					timd@alleninstitute.org	timdol.aibs	SM5zKIZ	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/western_gorilla/raw	nemo:sqc-fb5tnox	0cc314d126f7b42347520f8c5d2325ac
NW_TX0021-9_S01_L003_I1_001.fastq.gz	M2TX_191008_201_C01	biccn	U01_lein	lein	western_gorilla	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	56e2e39f404864b47a569542e3b988a2	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_gorilla					timd@alleninstitute.org	timdol.aibs	SM5zKIZ	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/western_gorilla/raw	nemo:sqc-1pkc347	56e2e39f404864b47a569542e3b988a2
NW_TX0021-10_S01_L003_I1_001.fastq.gz	M2TX_191008_201_D01	biccn	U01_lein	lein	western_gorilla	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	ed111f5b84c6a132fe4421d154eb15cf	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_gorilla					timd@alleninstitute.org	timdol.aibs	SM5zKIZ	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/western_gorilla/raw	nemo:sqc-s77vq8s	ed111f5b84c6a132fe4421d154eb15cf
NW_TX0021-11_S01_L003_I1_001.fastq.gz	M2TX_191008_201_E01	biccn	U01_lein	lein	western_gorilla	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	363e88e5baeac8dfd6e39ae9ed7797c8	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_gorilla					timd@alleninstitute.org	timdol.aibs	SM5zKIZ	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/western_gorilla/raw	nemo:sqc-tag57du	363e88e5baeac8dfd6e39ae9ed7797c8
NW_TX0021-12_S01_L003_I1_001.fastq.gz	M2TX_191011_201_F01	biccn	U01_lein	lein	western_gorilla	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	e4f473e1bf3ff3e90b7c2a919f6c7872	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_gorilla					timd@alleninstitute.org	timdol.aibs	SM5zKIZ	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/western_gorilla/raw	nemo:sqc-ghcvuie	e4f473e1bf3ff3e90b7c2a919f6c7872
