File_name	Sample_ID	Program	Sub-program	Lab	Species	Modality	Technique	Subspecimen_type	Data_type	File_type	Access	Checksum	Anatomical_site	Counts_pipeline	Read_aligner	Genome_build	Gene_set_release	BCDC_Project	BCDC_collection	CA_usage	CA_IC_id	CA_donor	CA_tissue_provider	Contact_email	Aspera_user	Aspera_dir	Validated_nemo_dir	component_identifier	Nemo_checksum	Nemo_file_name	Released_URL	Identifier
NW_TX0023-7_S01_L003_I1_001.fastq.gz	M1TX_191118_101_A01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	71d0d05af4b23074d0835b508dfb0cd2	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-ed3cq86	71d0d05af4b23074d0835b508dfb0cd2	NW_TX0023-7_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0023-7_S01_L003-001.fastq.tar	nemo:seq-x5yhuu6
NW_TX0023-8_S01_L003_I1_001.fastq.gz	M1TX_191118_101_B01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	319b8b3cf1d63d50640016426bc0833d	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-1b2v5m4	319b8b3cf1d63d50640016426bc0833d	NW_TX0023-8_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0023-8_S01_L003-001.fastq.tar	nemo:seq-uky3nwy
NW_TX0023-11_S01_L003_I1_001.fastq.gz	M1TX_191118_103_E01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	dee49c8bbbe58d3f12d417fdaee5a926	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-qnj3dq6	dee49c8bbbe58d3f12d417fdaee5a926	NW_TX0023-11_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0023-11_S01_L003-001.fastq.tar	nemo:seq-0sae7gy
NW_TX0023-12_S01_L003_I1_001.fastq.gz	M1TX_191118_103_F01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	2d1a4cd10e9816d7e52c675c19f4febb	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-hmedakr	2d1a4cd10e9816d7e52c675c19f4febb	NW_TX0023-12_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0023-12_S01_L003-001.fastq.tar	nemo:seq-88ir53e
NW_TX0023-9_S01_L003_I1_001.fastq.gz	M1TX_191106_101_A01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	79e7bfe5a30fdf2b3a48f0667851c133	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-rj81jsa	79e7bfe5a30fdf2b3a48f0667851c133	NW_TX0023-9_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0023-9_S01_L003-001.fastq.tar	nemo:seq-cjh7n0z
NW_TX0023-10_S01_L003_I1_001.fastq.gz	M1TX_191106_101_B01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	ba3e4adc0a367685501f856fb456dd30	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-xkhsn9x	ba3e4adc0a367685501f856fb456dd30	NW_TX0023-10_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0023-10_S01_L003-001.fastq.tar	nemo:seq-87rhygi
NW_TX0023-13_S01_L003_I1_001.fastq.gz	M1TX_191106_103_C01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	597fe1d1af55f7b215a6117f93f4354a	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-rv2b780	597fe1d1af55f7b215a6117f93f4354a	NW_TX0023-13_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0023-13_S01_L003-001.fastq.tar	nemo:seq-hv1fsr4
NW_TX0023-14_S01_L003_I1_001.fastq.gz	M1TX_191106_103_D01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	8967dd8d7af3b3c39eda8627d53246c3	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-a5bvd54	8967dd8d7af3b3c39eda8627d53246c3	NW_TX0023-14_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0023-14_S01_L003-001.fastq.tar	nemo:seq-casii5s
NW_TX0024-2_S01_L003_I1_001.fastq.gz	M1TX_191106_102_E01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	cc52a6c21fa0632979b82b05861d02dd	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-u2c2zq8	cc52a6c21fa0632979b82b05861d02dd	NW_TX0024-2_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0024-2_S01_L003-001.fastq.tar	nemo:seq-vszod32
NW_TX0024-3_S01_L003_I1_001.fastq.gz	M1TX_191106_102_F01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	a3eec920ccc2cb997ad96b3ef63676cd	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-wxfg7tj	a3eec920ccc2cb997ad96b3ef63676cd	NW_TX0024-3_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0024-3_S01_L003-001.fastq.tar	nemo:seq-zv5vpvn
NW_TX0024-4_S01_L003_I1_001.fastq.gz	M1TX_191106_107_G01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	b93c875dcd645e6b0a0ad54a66691194	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-iiyx3pj	b93c875dcd645e6b0a0ad54a66691194	NW_TX0024-4_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0024-4_S01_L003-001.fastq.tar	nemo:seq-wbecf4t
NW_TX0024-5_S01_L003_I1_001.fastq.gz	M1TX_191106_107_H01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	610015092ef9d7044616d41ad312c018	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-kec2vfu	610015092ef9d7044616d41ad312c018	NW_TX0024-5_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0024-5_S01_L003-001.fastq.tar	nemo:seq-0ncwidb
NW_TX0023-7_S01_L003_R1_001.fastq.gz	M1TX_191118_101_A01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	dd41d830def5714e1f6d1648c8205249	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-thrrp3q	dd41d830def5714e1f6d1648c8205249	NW_TX0023-7_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0023-7_S01_L003-001.fastq.tar	nemo:seq-x5yhuu6
NW_TX0023-8_S01_L003_R1_001.fastq.gz	M1TX_191118_101_B01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	11d69fb0d608bc038d0e9f1f508b1771	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-wh81p14	11d69fb0d608bc038d0e9f1f508b1771	NW_TX0023-8_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0023-8_S01_L003-001.fastq.tar	nemo:seq-uky3nwy
NW_TX0023-11_S01_L003_R1_001.fastq.gz	M1TX_191118_103_E01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	74cdf11fd4a3619c325f4be028e0174e	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-a7omwrm	74cdf11fd4a3619c325f4be028e0174e	NW_TX0023-11_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0023-11_S01_L003-001.fastq.tar	nemo:seq-0sae7gy
NW_TX0023-12_S01_L003_R1_001.fastq.gz	M1TX_191118_103_F01	biccn	U01_lein	lein	rhesus_macaque	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	5a73851eb8ebfb6ab3643491a2084766	MTG					lein_great_ape_mtg_RNA_proj	lein_great_ape_MTG_10x_rhesus					timd@alleninstitute.org	timdol.aibs	arIbOAV	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw	nemo:sqc-1n5rsgq	5a73851eb8ebfb6ab3643491a2084766	NW_TX0023-12_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/rhesus_macaque/raw/NW_TX0023-12_S01_L003-001.fastq.tar	nemo:seq-88ir53e
