File_name	Sample_ID	Program	Sub-program	Lab	Species	Modality	Technique	Subspecimen_type	Data_type	File_type	Access	Checksum	Anatomical_site	Counts_pipeline	Read_aligner	Genome_build	Gene_set_release	BCDC_Project	BCDC_collection	CA_usage	CA_IC_id	CA_donor	CA_tissue_provider	Contact_email	Aspera_user	Aspera_dir	Validated_nemo_dir	component_identifier	Nemo_checksum	Nemo_file_name	Released_URL	Identifier
NW_TX0037-4_S01_L003_I1_001.fastq.gz	L8TX_200306_01_G11	biccn	U01_lein	lein	human	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	8849f30a5ed2c36bc7f16c6ac3e165da	A1C					lein_human_cross-areal_10x_proj	lein_human_cross-areal_10x_A1		GDS_Extramural_Certification_U01MH114812_Hodge_Open_GRU	H18.30.002	UW/Keene	timd@alleninstitute.org	timdol.aibs	xrcjbnp	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw	nemo:sqc-w0jiv8w	8849f30a5ed2c36bc7f16c6ac3e165da	NW_TX0037-4_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw/NW_TX0037-4_S01_L003-001.fastq.tar	nemo:seq-4fbr09f
NW_TX0037-5_S01_L003_I1_001.fastq.gz	L8TX_200306_01_H11	biccn	U01_lein	lein	human	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	12827725ca974d40d1d6f19b775c15e7	A1C					lein_human_cross-areal_10x_proj	lein_human_cross-areal_10x_A1		GDS_Extramural_Certification_U01MH114812_Hodge_Open_GRU	H18.30.002	UW/Keene	timd@alleninstitute.org	timdol.aibs	xrcjbnp	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw	nemo:sqc-spqs8e9	12827725ca974d40d1d6f19b775c15e7	NW_TX0037-5_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw/NW_TX0037-5_S01_L003-001.fastq.tar	nemo:seq-opoodwe
NW_TX0038-10_S01_L003_I1_001.fastq.gz	L8TX_200306_01_E11	biccn	U01_lein	lein	human	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	685c7e8ba0b1378f9d8e042d10d85f29	A1C					lein_human_cross-areal_10x_proj	lein_human_cross-areal_10x_A1		GDS_Extramural_Certification_U01MH114812_Hodge_Open_GRU	H18.30.002	UW/Keene	timd@alleninstitute.org	timdol.aibs	xrcjbnp	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw	nemo:sqc-yv6trtm	685c7e8ba0b1378f9d8e042d10d85f29	NW_TX0038-10_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw/NW_TX0038-10_S01_L003-001.fastq.tar	nemo:seq-7p9zq9x
NW_TX0038-9_S01_L003_I1_001.fastq.gz	L8TX_200306_01_C12	biccn	U01_lein	lein	human	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	2359966611429c43ba3148afba2d96c4	A1C					lein_human_cross-areal_10x_proj	lein_human_cross-areal_10x_A1		GDS_Extramural_Certification_U01MH114812_Hodge_Open_GRU	H18.30.002	UW/Keene	timd@alleninstitute.org	timdol.aibs	xrcjbnp	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw	nemo:sqc-f49x6gu	2359966611429c43ba3148afba2d96c4	NW_TX0038-9_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw/NW_TX0038-9_S01_L003-001.fastq.tar	nemo:seq-nv1w5ae
NW_TX0031-1_S01_L003_I1_001.fastq.gz	L8TX_200114_01_H11	biccn	U01_lein	lein	human	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	912f3d901e806a7f98ff0d94f14d69de	ACC					lein_human_cross-areal_10x_proj	lein_human_cross-areal_10x_ACC		GDS_Extramural_Certification_U01MH114812_Hodge_Open_GRU	H18.30.002	UW/Keene	timd@alleninstitute.org	timdol.aibs	xrcjbnp	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw	nemo:sqc-qajxrxs	912f3d901e806a7f98ff0d94f14d69de	NW_TX0031-1_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw/NW_TX0031-1_S01_L003-001.fastq.tar	nemo:seq-9k8o22d
NW_TX0030-10_S01_L003_I1_001.fastq.gz	L8TX_200114_01_D11	biccn	U01_lein	lein	human	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	05c3a4da4cd1127f1ec0e03eab92a8bb	ACC					lein_human_cross-areal_10x_proj	lein_human_cross-areal_10x_ACC		GDS_Extramural_Certification_U01MH114812_Hodge_Open_GRU	H18.30.002	UW/Keene	timd@alleninstitute.org	timdol.aibs	xrcjbnp	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw	nemo:sqc-kztr13v	05c3a4da4cd1127f1ec0e03eab92a8bb	NW_TX0030-10_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw/NW_TX0030-10_S01_L003-001.fastq.tar	nemo:seq-fdavay6
NW_TX0030-9_S01_L003_I1_001.fastq.gz	L8TX_200114_01_C11	biccn	U01_lein	lein	human	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	6bf15bbf2fbd6a15b9c04c8aa895efdd	ACC					lein_human_cross-areal_10x_proj	lein_human_cross-areal_10x_ACC		GDS_Extramural_Certification_U01MH114812_Hodge_Open_GRU	H18.30.002	UW/Keene	timd@alleninstitute.org	timdol.aibs	xrcjbnp	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw	nemo:sqc-69nh48r	6bf15bbf2fbd6a15b9c04c8aa895efdd	NW_TX0030-9_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw/NW_TX0030-9_S01_L003-001.fastq.tar	nemo:seq-u3i4gdu
NW_TX0030-14_S01_L003_I1_001.fastq.gz	L8TX_200114_01_A12	biccn	U01_lein	lein	human	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	9cc4ec53f4596a55a8186e99ea361b6a	ACC					lein_human_cross-areal_10x_proj	lein_human_cross-areal_10x_ACC		GDS_Extramural_Certification_U01MH114812_Hodge_Open_GRU	H18.30.002	UW/Keene	timd@alleninstitute.org	timdol.aibs	xrcjbnp	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw	nemo:sqc-gjx1mr8	9cc4ec53f4596a55a8186e99ea361b6a	NW_TX0030-14_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw/NW_TX0030-14_S01_L003-001.fastq.tar	nemo:seq-m4rt97x
NW_TX0020-15_S01_L003_I1_001.fastq.gz	L8TX_191008_01_B06	biccn	U01_lein	lein	human	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	9da2e4d8921770f22e32f3ebcf02f207	ACC_L5					lein_human_cross-areal_10x_proj	lein_human_cross-areal_10x_ACC		GDS_Extramural_Certification_U01MH114812_Hodge_Open_GRU	H18.30.002	UW/Keene	timd@alleninstitute.org	timdol.aibs	xrcjbnp	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw	nemo:sqc-xreqs51	9da2e4d8921770f22e32f3ebcf02f207	NW_TX0020-15_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw/NW_TX0020-15_S01_L003-001.fastq.tar	nemo:seq-2vs0si3
NW_TX0029-14_S01_L003_I1_001.fastq.gz	L8TX_200107_01_G09	biccn	U01_lein	lein	human	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	a247d72ccb716871845c43073c27e7e5	DLPFC					lein_human_cross-areal_10x_proj	lein_human_cross-areal_10x_DLPFC		GDS_Extramural_Certification_U01MH114812_Hodge_Open_GRU	H18.30.002	UW/Keene	timd@alleninstitute.org	timdol.aibs	xrcjbnp	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw	nemo:sqc-2vmjeow	a247d72ccb716871845c43073c27e7e5	NW_TX0029-14_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/human/raw/NW_TX0029-14_S01_L003-001.fastq.tar	nemo:seq-h4i0s4n
