marmoset,rhesus,gorilla,chimp,human
A1BG,A1BG,A1BG,A1BG,A1BG
A1CF,A1CF,A1CF,A1CF,A1CF
A2ML1,A2ML1,A2ML1,A2ML1,A2ML1
A3GALT2,A3GALT2,A3GALT2,A3GALT2,A3GALT2
A4GALT,A4GALT,A4GALT,A4GALT,A4GALT
A4GNT,A4GNT,A4GNT,A4GNT,A4GNT
AAAS,AAAS,AAAS,AAAS,AAAS
AACS,AACS,AACS,AACS,AACS
AADACL2,AADACL2,AADACL2,AADACL2,AADACL2
AADACL3,AADACL3,AADACL3,AADACL3,AADACL3
AADACL4,AADACL4,AADACL4,AADACL4,AADACL4
AADAT,AADAT,AADAT,AADAT,AADAT
AAGAB,AAGAB,AAGAB,AAGAB,AAGAB
AAK1,AAK1,AAK1,AAK1,AAK1
AAMDC,AAMDC,AAMDC,AAMDC,AAMDC
AAMP,AAMP,AAMP,AAMP,AAMP
AANAT,AANAT,AANAT,AANAT,AANAT
AAR2,AAR2,AAR2,AAR2,AAR2
AARD,AARD,AARD,AARD,AARD
AARS2,AARS2,AARS2,AARS2,AARS2
AASDH,AASDH,AASDH,AASDH,AASDH
AASDHPPT,AASDHPPT,AASDHPPT,AASDHPPT,AASDHPPT
AASS,AASS,AASS,AASS,AASS
AATF,AATF,AATF,AATF,AATF
AATK,AATK,AATK,AATK,AATK
ABCA1,ABCA1,ABCA1,ABCA1,ABCA1
ABCA10,ABCA10,ABCA10,ABCA10,ABCA10
ABCA12,ABCA12,ABCA12,ABCA12,ABCA12
ABCA13,ABCA13,ABCA13,ABCA13,ABCA13
ABCA2,ABCA2,ABCA2,ABCA2,ABCA2
ABCA4,ABCA4,ABCA4,ABCA4,ABCA4
ABCA5,ABCA5,ABCA5,ABCA5,ABCA5
ABCA6,ABCA6,ABCA6,ABCA6,ABCA6
ABCA7,ABCA7,ABCA7,ABCA7,ABCA7
ABCA8,ABCA8,ABCA8,ABCA8,ABCA8
ABCB1,ABCB1,ABCB1,ABCB1,ABCB1
ABCB10,ABCB10,ABCB10,ABCB10,ABCB10
ABCB11,ABCB11,ABCB11,ABCB11,ABCB11
ABCB4,ABCB4,ABCB4,ABCB4,ABCB4
ABCB5,ABCB5,ABCB5,ABCB5,ABCB5
ABCB6,ABCB6,ABCB6,ABCB6,ABCB6
ABCB7,ABCB7,ABCB7,ABCB7,ABCB7
ABCB8,ABCB8,ABCB8,ABCB8,ABCB8
ABCB9,ABCB9,ABCB9,ABCB9,ABCB9
ABCC10,ABCC10,ABCC10,ABCC10,ABCC10
ABCC2,ABCC2,ABCC2,ABCC2,ABCC2
ABCC3,ABCC3,ABCC3,ABCC3,ABCC3
ABCC4,ABCC4,ABCC4,ABCC4,ABCC4
ABCC5,ABCC5,ABCC5,ABCC5,ABCC5
ABCC8,ABCC8,ABCC8,ABCC8,ABCC8
ABCD1,ABCD1,ABCD1,ABCD1,ABCD1
ABCD2,ABCD2,ABCD2,ABCD2,ABCD2
ABCD3,ABCD3,ABCD3,ABCD3,ABCD3
ABCD4,ABCD4,ABCD4,ABCD4,ABCD4
ABCE1,ABCE1,ABCE1,ABCE1,ABCE1
ABCF1,ABCF1,ABCF1,ABCF1,ABCF1
ABCF2,ABCF2,ABCF2,ABCF2,ABCF2
ABCF3,ABCF3,ABCF3,ABCF3,ABCF3
ABCG1,ABCG1,ABCG1,ABCG1,ABCG1
ABCG2,ABCG2,ABCG2,ABCG2,ABCG2
ABCG4,ABCG4,ABCG4,ABCG4,ABCG4
ABCG5,ABCG5,ABCG5,ABCG5,ABCG5
ABCG8,ABCG8,ABCG8,ABCG8,ABCG8
ABHD1,ABHD1,ABHD1,ABHD1,ABHD1
ABHD10,ABHD10,ABHD10,ABHD10,ABHD10
ABHD11,ABHD11,ABHD11,ABHD11,ABHD11
ABHD12,ABHD12,ABHD12,ABHD12,ABHD12
ABHD12B,ABHD12B,ABHD12B,ABHD12B,ABHD12B
ABHD13,ABHD13,ABHD13,ABHD13,ABHD13
ABHD14B,ABHD14B,ABHD14B,ABHD14B,ABHD14B
ABHD15,ABHD15,ABHD15,ABHD15,ABHD15
ABHD16A,ABHD16A,ABHD16A,ABHD16A,ABHD16A
ABHD17A,ABHD17A,ABHD17A,ABHD17A,ABHD17A
ABHD17B,ABHD17B,ABHD17B,ABHD17B,ABHD17B
ABHD17C,ABHD17C,ABHD17C,ABHD17C,ABHD17C
ABHD2,ABHD2,ABHD2,ABHD2,ABHD2
ABHD3,ABHD3,ABHD3,ABHD3,ABHD3
ABHD4,ABHD4,ABHD4,ABHD4,ABHD4
ABHD5,ABHD5,ABHD5,ABHD5,ABHD5
ABHD6,ABHD6,ABHD6,ABHD6,ABHD6
ABHD8,ABHD8,ABHD8,ABHD8,ABHD8
ABI1,ABI1,ABI1,ABI1,ABI1
ABI2,ABI2,ABI2,ABI2,ABI2
ABI3,ABI3,ABI3,ABI3,ABI3
ABI3BP,ABI3BP,ABI3BP,ABI3BP,ABI3BP
ABL1,ABL1,ABL1,ABL1,ABL1
ABL2,ABL2,ABL2,ABL2,ABL2
ABLIM1,ABLIM1,ABLIM1,ABLIM1,ABLIM1
ABLIM2,ABLIM2,ABLIM2,ABLIM2,ABLIM2
ABLIM3,ABLIM3,ABLIM3,ABLIM3,ABLIM3
ABO,ABO,ABO,ABO,ABO
ABR,ABR,ABR,ABR,ABR
ABRA,ABRA,ABRA,ABRA,ABRA
ABRACL,ABRACL,ABRACL,ABRACL,ABRACL
ABT1,ABT1,ABT1,ABT1,ABT1
ABTB1,ABTB1,ABTB1,ABTB1,ABTB1
ABTB2,ABTB2,ABTB2,ABTB2,ABTB2
ACAA1,ACAA1,ACAA1,ACAA1,ACAA1
ACAA2,ACAA2,ACAA2,ACAA2,ACAA2
ACACA,ACACA,ACACA,ACACA,ACACA
ACACB,ACACB,ACACB,ACACB,ACACB
ACAD10,ACAD10,ACAD10,ACAD10,ACAD10
ACAD11,ACAD11,ACAD11,ACAD11,ACAD11
ACAD8,ACAD8,ACAD8,ACAD8,ACAD8
ACAD9,ACAD9,ACAD9,ACAD9,ACAD9
ACADL,ACADL,ACADL,ACADL,ACADL
ACADM,ACADM,ACADM,ACADM,ACADM
ACADS,ACADS,ACADS,ACADS,ACADS
ACADSB,ACADSB,ACADSB,ACADSB,ACADSB
ACADVL,ACADVL,ACADVL,ACADVL,ACADVL
ACAN,ACAN,ACAN,ACAN,ACAN
ACAP1,ACAP1,ACAP1,ACAP1,ACAP1
ACAP2,ACAP2,ACAP2,ACAP2,ACAP2
ACAP3,ACAP3,ACAP3,ACAP3,ACAP3
ACAT1,ACAT1,ACAT1,ACAT1,ACAT1
ACAT2,ACAT2,ACAT2,ACAT2,ACAT2
ACBD3,ACBD3,ACBD3,ACBD3,ACBD3
ACBD4,ACBD4,ACBD4,ACBD4,ACBD4
ACBD5,ACBD5,ACBD5,ACBD5,ACBD5
ACBD6,ACBD6,ACBD6,ACBD6,ACBD6
ACBD7,ACBD7,ACBD7,ACBD7,ACBD7
ACCS,ACCS,ACCS,ACCS,ACCS
ACCSL,ACCSL,ACCSL,ACCSL,ACCSL
ACE,ACE,ACE,ACE,ACE
ACE2,ACE2,ACE2,ACE2,ACE2
ACER1,ACER1,ACER1,ACER1,ACER1
ACER2,ACER2,ACER2,ACER2,ACER2
ACER3,ACER3,ACER3,ACER3,ACER3
ACHE,ACHE,ACHE,ACHE,ACHE
ACIN1,ACIN1,ACIN1,ACIN1,ACIN1
ACKR1,ACKR1,ACKR1,ACKR1,ACKR1
ACKR2,ACKR2,ACKR2,ACKR2,ACKR2
ACKR3,ACKR3,ACKR3,ACKR3,ACKR3
ACKR4,ACKR4,ACKR4,ACKR4,ACKR4
ACLY,ACLY,ACLY,ACLY,ACLY
ACMSD,ACMSD,ACMSD,ACMSD,ACMSD
ACO1,ACO1,ACO1,ACO1,ACO1
ACO2,ACO2,ACO2,ACO2,ACO2
ACOT11,ACOT11,ACOT11,ACOT11,ACOT11
ACOT12,ACOT12,ACOT12,ACOT12,ACOT12
ACOT13,ACOT13,ACOT13,ACOT13,ACOT13
ACOT4,ACOT4,ACOT4,ACOT4,ACOT4
ACOT6,ACOT6,ACOT6,ACOT6,ACOT6
ACOT7,ACOT7,ACOT7,ACOT7,ACOT7
ACOT8,ACOT8,ACOT8,ACOT8,ACOT8
ACOT9,ACOT9,ACOT9,ACOT9,ACOT9
ACOX1,ACOX1,ACOX1,ACOX1,ACOX1
ACOX2,ACOX2,ACOX2,ACOX2,ACOX2
ACOX3,ACOX3,ACOX3,ACOX3,ACOX3
ACP1,ACP1,ACP1,ACP1,ACP1
ACP2,ACP2,ACP2,ACP2,ACP2
ACP5,ACP5,ACP5,ACP5,ACP5
ACP6,ACP6,ACP6,ACP6,ACP6
ACPP,ACPP,ACPP,ACPP,ACPP
ACR,ACR,ACR,ACR,ACR
ACRBP,ACRBP,ACRBP,ACRBP,ACRBP
ACRV1,ACRV1,ACRV1,ACRV1,ACRV1
ACSBG1,ACSBG1,ACSBG1,ACSBG1,ACSBG1
ACSBG2,ACSBG2,ACSBG2,ACSBG2,ACSBG2
ACSF2,ACSF2,ACSF2,ACSF2,ACSF2
ACSL1,ACSL1,ACSL1,ACSL1,ACSL1
ACSL3,ACSL3,ACSL3,ACSL3,ACSL3
ACSL4,ACSL4,ACSL4,ACSL4,ACSL4
ACSL5,ACSL5,ACSL5,ACSL5,ACSL5
ACSL6,ACSL6,ACSL6,ACSL6,ACSL6
ACSM4,ACSM4,ACSM4,ACSM4,ACSM4
ACSS1,ACSS1,ACSS1,ACSS1,ACSS1
ACSS2,ACSS2,ACSS2,ACSS2,ACSS2
ACSS3,ACSS3,ACSS3,ACSS3,ACSS3
ACTA1,ACTA1,ACTA1,ACTA1,ACTA1
ACTA2,ACTA2,ACTA2,ACTA2,ACTA2
ACTB,ACTB,ACTB,ACTB,ACTB
ACTC1,ACTC1,ACTC1,ACTC1,ACTC1
ACTG2,ACTG2,ACTG2,ACTG2,ACTG2
ACTL10,ACTL10,ACTL10,ACTL10,ACTL10
ACTL6A,ACTL6A,ACTL6A,ACTL6A,ACTL6A
ACTL6B,ACTL6B,ACTL6B,ACTL6B,ACTL6B
ACTL7B,ACTL7B,ACTL7B,ACTL7B,ACTL7B
ACTN1,ACTN1,ACTN1,ACTN1,ACTN1
ACTN2,ACTN2,ACTN2,ACTN2,ACTN2
ACTN3,ACTN3,ACTN3,ACTN3,ACTN3
ACTN4,ACTN4,ACTN4,ACTN4,ACTN4
ACTR10,ACTR10,ACTR10,ACTR10,ACTR10
ACTR1A,ACTR1A,ACTR1A,ACTR1A,ACTR1A
ACTR1B,ACTR1B,ACTR1B,ACTR1B,ACTR1B
ACTR2,ACTR2,ACTR2,ACTR2,ACTR2
ACTR3,ACTR3,ACTR3,ACTR3,ACTR3
ACTR3B,ACTR3B,ACTR3B,ACTR3B,ACTR3B
ACTR5,ACTR5,ACTR5,ACTR5,ACTR5
ACTR6,ACTR6,ACTR6,ACTR6,ACTR6
ACTR8,ACTR8,ACTR8,ACTR8,ACTR8
ACTRT3,ACTRT3,ACTRT3,ACTRT3,ACTRT3
ACVR1,ACVR1,ACVR1,ACVR1,ACVR1
ACVR1B,ACVR1B,ACVR1B,ACVR1B,ACVR1B
ACVR1C,ACVR1C,ACVR1C,ACVR1C,ACVR1C
ACVR2A,ACVR2A,ACVR2A,ACVR2A,ACVR2A
ACVR2B,ACVR2B,ACVR2B,ACVR2B,ACVR2B
ACVRL1,ACVRL1,ACVRL1,ACVRL1,ACVRL1
ACY3,ACY3,ACY3,ACY3,ACY3
ACYP1,ACYP1,ACYP1,ACYP1,ACYP1
ACYP2,ACYP2,ACYP2,ACYP2,ACYP2
ADA,ADA,ADA,ADA,ADA
ADAD1,ADAD1,ADAD1,ADAD1,ADAD1
ADAL,ADAL,ADAL,ADAL,ADAL
ADAM10,ADAM10,ADAM10,ADAM10,ADAM10
ADAM11,ADAM11,ADAM11,ADAM11,ADAM11
ADAM12,ADAM12,ADAM12,ADAM12,ADAM12
ADAM15,ADAM15,ADAM15,ADAM15,ADAM15
ADAM17,ADAM17,ADAM17,ADAM17,ADAM17
ADAM19,ADAM19,ADAM19,ADAM19,ADAM19
ADAM21,ADAM21,ADAM21,ADAM21,ADAM21
ADAM22,ADAM22,ADAM22,ADAM22,ADAM22
ADAM23,ADAM23,ADAM23,ADAM23,ADAM23
ADAM28,ADAM28,ADAM28,ADAM28,ADAM28
ADAM32,ADAM32,ADAM32,ADAM32,ADAM32
ADAM33,ADAM33,ADAM33,ADAM33,ADAM33
ADAM7,ADAM7,ADAM7,ADAM7,ADAM7
ADAM8,ADAM8,ADAM8,ADAM8,ADAM8
ADAM9,ADAM9,ADAM9,ADAM9,ADAM9
ADAMDEC1,ADAMDEC1,ADAMDEC1,ADAMDEC1,ADAMDEC1
ADAMTS1,ADAMTS1,ADAMTS1,ADAMTS1,ADAMTS1
ADAMTS10,ADAMTS10,ADAMTS10,ADAMTS10,ADAMTS10
ADAMTS12,ADAMTS12,ADAMTS12,ADAMTS12,ADAMTS12
ADAMTS13,ADAMTS13,ADAMTS13,ADAMTS13,ADAMTS13
ADAMTS14,ADAMTS14,ADAMTS14,ADAMTS14,ADAMTS14
ADAMTS15,ADAMTS15,ADAMTS15,ADAMTS15,ADAMTS15
ADAMTS16,ADAMTS16,ADAMTS16,ADAMTS16,ADAMTS16
ADAMTS17,ADAMTS17,ADAMTS17,ADAMTS17,ADAMTS17
ADAMTS19,ADAMTS19,ADAMTS19,ADAMTS19,ADAMTS19
ADAMTS2,ADAMTS2,ADAMTS2,ADAMTS2,ADAMTS2
ADAMTS20,ADAMTS20,ADAMTS20,ADAMTS20,ADAMTS20
ADAMTS3,ADAMTS3,ADAMTS3,ADAMTS3,ADAMTS3
ADAMTS4,ADAMTS4,ADAMTS4,ADAMTS4,ADAMTS4
ADAMTS5,ADAMTS5,ADAMTS5,ADAMTS5,ADAMTS5
ADAMTS6,ADAMTS6,ADAMTS6,ADAMTS6,ADAMTS6
ADAMTS8,ADAMTS8,ADAMTS8,ADAMTS8,ADAMTS8
ADAMTS9,ADAMTS9,ADAMTS9,ADAMTS9,ADAMTS9
ADAMTSL1,ADAMTSL1,ADAMTSL1,ADAMTSL1,ADAMTSL1
ADAMTSL2,ADAMTSL2,ADAMTSL2,ADAMTSL2,ADAMTSL2
ADAMTSL3,ADAMTSL3,ADAMTSL3,ADAMTSL3,ADAMTSL3
ADAMTSL4,ADAMTSL4,ADAMTSL4,ADAMTSL4,ADAMTSL4
ADAMTSL5,ADAMTSL5,ADAMTSL5,ADAMTSL5,ADAMTSL5
ADAP1,ADAP1,ADAP1,ADAP1,ADAP1
ADAP2,ADAP2,ADAP2,ADAP2,ADAP2
ADAR,ADAR,ADAR,ADAR,ADAR
ADARB1,ADARB1,ADARB1,ADARB1,ADARB1
ADARB2,ADARB2,ADARB2,ADARB2,ADARB2
ADAT2,ADAT2,ADAT2,ADAT2,ADAT2
ADCK1,ADCK1,ADCK1,ADCK1,ADCK1
ADCK2,ADCK2,ADCK2,ADCK2,ADCK2
ADCK5,ADCK5,ADCK5,ADCK5,ADCK5
ADCY1,ADCY1,ADCY1,ADCY1,ADCY1
